element_type,osmid,amenity,building,name,tourism,geometry
way,37015896,,yes,,,"POLYGON ((13.2473961 -8.8240982, 13.2472526 -8.824341799999999, 13.247603 -8.8245433, 13.2477465 -8.824299699999999, 13.2473961 -8.8240982))"
way,37015897,,college,,,"POLYGON ((13.2477252 -8.824781700000001, 13.247372 -8.8253811, 13.2472368 -8.8253033, 13.2474185 -8.824994999999999, 13.2470424 -8.824778500000001, 13.246927 -8.8249744, 13.247073 -8.8250584, 13.2469844 -8.825208699999999, 13.246019 -8.8246532, 13.2460945 -8.824525100000001, 13.2462395 -8.8246085, 13.2463858 -8.8243603, 13.2464282 -8.8243846, 13.2465223 -8.8242248, 13.2466589 -8.8243034, 13.2465246 -8.8245314, 13.2464783 -8.8245048, 13.2463658 -8.824695800000001, 13.2467875 -8.824938400000001, 13.2469331 -8.824691400000001, 13.2467891 -8.8246085, 13.2468528 -8.8245004, 13.2474782 -8.8248602, 13.2475753 -8.824695500000001, 13.2477252 -8.824781700000001))"
way,37023640,,yes,,,"POLYGON ((13.2604503 -8.8240844, 13.2592831 -8.824093299999999, 13.2592913 -8.825150300000001, 13.2602073 -8.8251434, 13.260203 -8.8245951, 13.2604542 -8.824593200000001, 13.2604503 -8.8240844))"
way,37023663,,yes,,,"POLYGON ((13.2509875 -8.8297667, 13.2510786 -8.829828600000001, 13.2513188 -8.829483400000001, 13.2512277 -8.8294215, 13.2509875 -8.8297667))"
way,37023664,,yes,,,"POLYGON ((13.2513855 -8.8295473, 13.2513245 -8.8296321, 13.251734 -8.829919800000001, 13.2517949 -8.8298351, 13.2513855 -8.8295473))"
way,37023665,,yes,,,"POLYGON ((13.2511394 -8.8298936, 13.2511951 -8.829812799999999, 13.251615 -8.830095399999999, 13.2515593 -8.8301762, 13.2511394 -8.8298936))"
way,37023666,,yes,,,"POLYGON ((13.2519956 -8.8300467, 13.2518779 -8.8299661, 13.251715 -8.8301981, 13.2518327 -8.8302788, 13.2519956 -8.8300467))"
way,37053628,,yes,,,"POLYGON ((13.2259326 -8.8167945, 13.2259369 -8.8168805, 13.2259495 -8.817130000000001, 13.2264664 -8.817104499999999, 13.2264495 -8.816769000000001, 13.2259326 -8.8167945))"
way,37053639,,yes,Edifício Kilamba,,"POLYGON ((13.2312761 -8.811164, 13.2316525 -8.811086899999999, 13.2317528 -8.8115647, 13.2313764 -8.8116419, 13.2312761 -8.811164))"
way,37053652,,yes,Ministério das Finanças (MINFIN),,"POLYGON ((13.2317648 -8.8145854, 13.2319796 -8.8146276, 13.2318556 -8.815252900000001, 13.2316449 -8.8152066, 13.2317648 -8.8145854))"
way,37053676,,yes,,,"POLYGON ((13.2462257 -8.7961428, 13.2463839 -8.7962218, 13.2460794 -8.796818099999999, 13.2459211 -8.7967391, 13.2462257 -8.7961428))"
way,37053679,,yes,,,"POLYGON ((13.2455992 -8.797532, 13.2459721 -8.7977322, 13.2457087 -8.798211200000001, 13.2453359 -8.798011000000001, 13.2455992 -8.797532))"
way,37053680,,yes,,,"POLYGON ((13.245207 -8.7982342, 13.2455799 -8.7984343, 13.2453165 -8.7989134, 13.2449436 -8.7987132, 13.245207 -8.7982342))"
way,37053682,,yes,,,"POLYGON ((13.2458565 -8.7967069, 13.2459211 -8.7967391, 13.2460794 -8.796818099999999, 13.2461729 -8.7968647, 13.2459963 -8.7972106, 13.2458831 -8.7971542, 13.2458042 -8.7973087, 13.2456312 -8.7972225, 13.2457194 -8.7970498, 13.2456891 -8.797034699999999, 13.2458565 -8.7967069))"
way,37053684,,yes,,,"POLYGON ((13.2438628 -8.7990412, 13.243655 -8.799419200000001, 13.2440722 -8.7996455, 13.2442798 -8.7992621, 13.2438628 -8.7990412))"
way,37053686,,yes,,,"POLYGON ((13.2453932 -8.7998501, 13.2452079 -8.800180599999999, 13.245986 -8.800606399999999, 13.2461712 -8.8002758, 13.2453932 -8.7998501))"
way,37053688,,public,Capitania do Porto de Luanda,,"POLYGON ((13.2430762 -8.802300000000001, 13.2431601 -8.802149, 13.2430631 -8.802096300000001, 13.2429811 -8.802240599999999, 13.2428955 -8.802198000000001, 13.2428475 -8.802174000000001, 13.2427275 -8.802108799999999, 13.2428058 -8.801955700000001, 13.2427347 -8.801918000000001, 13.2426586 -8.802058199999999, 13.2425241 -8.8019868, 13.2425975 -8.8018518, 13.2424478 -8.8017723, 13.2423011 -8.802042, 13.2427803 -8.8022987, 13.2428291 -8.802324799999999, 13.2432782 -8.802565299999999, 13.2434248 -8.802301399999999, 13.2433276 -8.8022487, 13.2432474 -8.802392899999999, 13.2430762 -8.802300000000001))"
way,37053689,,yes,,,"POLYGON ((13.2432948 -8.801595000000001, 13.2434291 -8.801663400000001, 13.2432568 -8.8019938, 13.2431225 -8.8019254, 13.2432948 -8.801595000000001))"
way,37053690,,yes,,,"POLYGON ((13.2438169 -8.801300100000001, 13.2439386 -8.8013663, 13.2437406 -8.8017222, 13.2436188 -8.801655999999999, 13.2438169 -8.801300100000001))"
way,37086021,,yes,Unicargas,,"POLYGON ((13.2439298 -8.807928199999999, 13.2437264 -8.8080911, 13.244289 -8.808776699999999, 13.2444923 -8.8086138, 13.2439298 -8.807928199999999))"
way,37086778,,yes,,,"POLYGON ((13.2640365 -8.794843699999999, 13.2642552 -8.794738300000001, 13.26446 -8.7951532, 13.2642413 -8.7952586, 13.2640365 -8.794843699999999))"
way,37086784,,yes,,,"POLYGON ((13.2664704 -8.7963579, 13.2663753 -8.7961733, 13.2654085 -8.796659399999999, 13.2655035 -8.796844, 13.2664704 -8.7963579))"
way,37086785,,yes,,,"POLYGON ((13.2647146 -8.796797, 13.2646062 -8.7965917, 13.2638945 -8.7969586, 13.2640029 -8.7971638, 13.2647146 -8.796797))"
way,37086787,,yes,,,"POLYGON ((13.265372 -8.797856299999999, 13.2651913 -8.797527499999999, 13.2648048 -8.7977349, 13.2649855 -8.7980637, 13.265372 -8.797856299999999))"
way,37086794,,yes,,,"POLYGON ((13.2569917 -8.7989555, 13.257253 -8.7988201, 13.257553 -8.7993854, 13.2572917 -8.7995208, 13.2569917 -8.7989555))"
way,37086795,,yes,,,"POLYGON ((13.2568957 -8.798394200000001, 13.2570376 -8.7986717, 13.2574256 -8.798477999999999, 13.2572837 -8.7982005, 13.2568957 -8.798394200000001))"
way,37086796,,yes,,,"POLYGON ((13.2584597 -8.7982558, 13.2586203 -8.798564600000001, 13.2589083 -8.7984183, 13.2587477 -8.7981096, 13.2584597 -8.7982558))"
way,37086797,,yes,,,"POLYGON ((13.2587635 -8.798803100000001, 13.258924 -8.7991119, 13.259212 -8.798965600000001, 13.2590515 -8.7986568, 13.2587635 -8.798803100000001))"
way,37086798,,yes,,,"POLYGON ((13.2589637 -8.798069999999999, 13.2591158 -8.7983604, 13.2595718 -8.7981272, 13.2594198 -8.797836800000001, 13.2589637 -8.798069999999999))"
way,37086799,,yes,,,"POLYGON ((13.2592501 -8.798651899999999, 13.2593989 -8.798921699999999, 13.2597932 -8.7987094, 13.2596444 -8.7984396, 13.2592501 -8.798651899999999))"
way,37086800,,yes,,,"POLYGON ((13.2600638 -8.7973625, 13.2602406 -8.797270299999999, 13.2604326 -8.79763, 13.2602558 -8.797722200000001, 13.2600638 -8.7973625))"
way,37086801,,yes,,,"POLYGON ((13.2600998 -8.7966193, 13.2602307 -8.7965518, 13.2603747 -8.7968245, 13.2602438 -8.796892100000001, 13.2600998 -8.7966193))"
way,37086802,,yes,,,"POLYGON ((13.2578586 -8.79748, 13.2577633 -8.797301900000001, 13.257947 -8.7972059, 13.2579125 -8.797141399999999, 13.2581534 -8.7970156, 13.2581698 -8.7970462, 13.258235 -8.7970121, 13.2583484 -8.7972242, 13.2578586 -8.79748))"
way,37086803,,yes,,,"POLYGON ((13.2573831 -8.7976885, 13.2572348 -8.797394199999999, 13.2570729 -8.7974739, 13.2571375 -8.797602100000001, 13.2570241 -8.797657900000001, 13.2569596 -8.79753, 13.2567928 -8.797612000000001, 13.256941 -8.797906100000001, 13.2573831 -8.7976885))"
way,37086804,,yes,,,"POLYGON ((13.2581671 -8.7990884, 13.2582894 -8.799320700000001, 13.2581193 -8.799408100000001, 13.2580469 -8.799270699999999, 13.2579504 -8.7993203, 13.2579005 -8.7992255, 13.2581671 -8.7990884))"
way,37086805,,yes,,,"POLYGON ((13.2581322 -8.798917299999999, 13.2584434 -8.7987553, 13.2589196 -8.799648400000001, 13.2586084 -8.7998104, 13.2581322 -8.798917299999999))"
