name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Angola,2017-03-07,31,24,27.3,34.5,24,29.1,22.6,76.8,,0,0,,0,0,,18.4,314.7,1008.2,33.8,9.2,,,,,2017-03-07T06:11:23,2017-03-07T18:24:31,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-08,32,24,27.8,35.8,24,29.9,22.6,74.3,,0,0,,0,0,,18.4,277.6,1009,32.5,9.7,,,,,2017-03-08T06:11:23,2017-03-08T18:24:01,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-09,32,26,28.5,36.8,26,31.1,23.2,73.8,,0,0,,0,0,,22.3,220.7,1008.6,32.3,10,,,,,2017-03-09T06:11:23,2017-03-09T18:23:31,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-10,31,25,27.8,35.5,25,30.1,22.6,74.2,,0,0,,0,0,,20.5,259.1,1008.4,40.9,10,,,,,2017-03-10T06:11:22,2017-03-10T18:23:01,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-11,30,24.9,27.3,34.1,24.9,29.3,22.9,77.6,,0,0,,0,0,,18.4,264.9,1007.5,32.7,9.8,,,,,2017-03-11T06:11:21,2017-03-11T18:22:31,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-12,31,25,27.9,34.6,25,30.1,22.3,72.1,,0,0,,0,0,,20.5,248.8,1008.9,53.3,9.9,,,,,2017-03-12T06:11:20,2017-03-12T18:22:00,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-13,32,25,28,36.8,25,30.7,23.1,75.1,,0,0,,0,0,,22.3,218,1009.6,32.5,10,,,,,2017-03-13T06:11:18,2017-03-13T18:21:29,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-14,31,26,28,35.5,26,31,23.4,76.5,,0,0,,0,0,,20.5,238.6,1010.2,45.4,10,,,,,2017-03-14T06:11:17,2017-03-14T18:20:57,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-15,30,26,28.1,35.1,26,31.1,23.1,74.4,,0,0,,0,0,,14.8,238.8,1010,57.7,9.3,,,,,2017-03-15T06:11:15,2017-03-15T18:20:26,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-16,32,26.9,28.4,35.8,29.2,31.8,23.1,73.2,,0,0,,0,0,,18.4,209.5,1008.4,49.8,9.4,,,,,2017-03-16T06:11:12,2017-03-16T18:19:54,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-17,32,26,28.5,37.9,26,32.1,23.8,76.6,,0,0,,0,0,,22.3,240.3,1008.5,59.6,9.9,,,,,2017-03-17T06:11:10,2017-03-17T18:19:22,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-18,32,24.9,27.6,36.8,24.9,30.6,23.4,78.1,,0,0,,0,0,,25.9,170.4,1009.7,52.4,9.9,,,,,2017-03-18T06:11:07,2017-03-18T18:18:50,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-19,31.9,26,28.3,37.7,26,31.9,24,78,,0,0,,0,0,,22.3,208.5,1009.3,35.4,10,,,,,2017-03-19T06:11:04,2017-03-19T18:18:17,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-20,32,17,27.8,37.9,17,31.1,23.5,78,,0,0,,0,0,,24.1,189.4,1009.5,61.8,9.6,,,,,2017-03-20T06:11:01,2017-03-20T18:17:45,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-21,31.1,23,27,36.7,23,29.9,23.9,83.4,,0,0,,0,0,,22.3,280.5,1009.4,58,7.8,,,,,2017-03-21T06:10:58,2017-03-21T18:17:12,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-22,28,24,25.4,31.9,24,26.1,23.2,88,,0,0,,0,0,,14.8,323.2,1011.9,59.7,8.2,,,,,2017-03-22T06:10:55,2017-03-22T18:16:40,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-23,29,24,26.8,33.6,24,28.8,23.3,81.5,,0,0,,0,0,,18.4,282.9,1010.9,48.7,9.5,,,,,2017-03-23T06:10:52,2017-03-23T18:16:07,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-24,33,24,27.4,39.2,24,29.9,23.4,79.5,,0,0,,0,0,,14.8,159.2,1010.9,52.5,10,,,,,2017-03-24T06:10:48,2017-03-24T18:15:34,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-25,32,25,28,37.9,25,31.3,24.2,80.2,,0,0,,0,0,,18.4,214,1010.4,53.5,10,,,,,2017-03-25T06:10:45,2017-03-25T18:15:02,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-26,32,26,28.6,37.9,26,32.2,23.8,76,,0,0,,0,0,,22.3,206.1,1010,55.5,9.8,,,,,2017-03-26T06:10:41,2017-03-26T18:14:29,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-27,31.2,26,28.2,37.8,26,31.9,24.2,79.6,,0,0,,0,0,,22.3,224.9,1009.7,49.7,9.9,,,,,2017-03-27T06:10:37,2017-03-27T18:13:56,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-28,30,26,27.9,36,26,31.1,24.2,80.7,,0,0,,0,0,,18.4,229.4,1009.3,44.8,9.6,,,,,2017-03-28T06:10:34,2017-03-28T18:13:24,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-29,31,25.2,28.6,36.5,25.2,32.6,23.9,76.5,,0,0,,0,0,,18.4,221.5,1009,50,10,,,,,2017-03-29T06:10:30,2017-03-29T18:12:51,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-30,32,26,28.6,37.5,26,31.6,23.2,73.4,,0,0,,0,0,,22.3,192.8,1009.6,64.2,10,,,,,2017-03-30T06:10:27,2017-03-30T18:12:19,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-03-31,33,25.8,28.3,36.5,25.8,31.3,23,73.8,,0,0,,0,0,,22.3,163.9,1010.5,43.8,10,,,,,2017-03-31T06:10:23,2017-03-31T18:11:47,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-04-01,31,26,28.3,37.7,26,32.7,24.5,79.9,,0,0,,0,0,,13,211,1010.2,58.9,9.3,,,,,2017-04-01T06:10:20,2017-04-01T18:11:15,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
